station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
75.75	75.5738034421099	2.61820614556949	0.138658632349366	-0.00819124767385299	15	15	-0.122868715107795
76	75.8214392265076	2.65250623079478	0.136572118559989	-0.00849706401231826	15	15	-0.127455960184774
76.25	76.0691473277766	2.68628007368879	0.134410100343207	-0.00879508741867879	15	15	-0.131926311280182
76.5	76.3169291048604	2.71950905455088	0.13217457485065	-0.00908492223434693	15	15	-0.136273833515204
76.75	76.564785727677	2.75217504713434	0.129867639226033	-0.00936616515345323	15	15	-0.140492477301798
77	76.8127181744436	2.78426044428881	0.127491492273923	-0.0096384065916299	15	15	-0.144576098874448
77.25	77.0607272296179	2.81574818407816	0.125048435930218	-0.00990123119918113	15	15	-0.148518467987717
77.5	77.3088134824791	2.84662177635703	0.122540876674332	-0.0101542181148994	15	15	-0.15231327172349
77.75	77.5569773263684	2.87686532978618	0.119971326872769	-0.0103969412605038	15	15	-0.155954118907557
78	77.8052189586104	2.90646357926338	0.11734240604408	-0.0106289696749086	15	15	-0.159434545123629
78.25	78.0535383811311	2.93540191374348	0.114656842035314	-0.0108498678862865	15	15	-0.162748018294297
78.5	78.3019354017898	2.96366640441787	0.111917472100937	-0.011059196597041	15	15	-0.165887948955614
78.75	78.550409636437	2.99124383322109	0.109127243736794	-0.0112565132654753	15	15	-0.168847698982129
79	78.7989605117084	3.01812172155922	0.1062892154682	-0.0114413708567364	15	15	-0.171620562851047
79.25	79.0475872685626	3.04428835932669	0.103406558308426	-0.0116133187748174	15	15	-0.17419978162226
79.5	79.2962889665784	3.06973283446638	0.100482556080791	-0.0117719060436602	15	15	-0.176578590654903
79.75	79.5450644889928	3.09444506222754	0.0975206052865955	-0.0119166805711967	15	15	-0.178750208567951
80	79.7939125484898	3.11841581471938	0.0945242157951925	-0.0120471884577552	15	15	-0.180707826866329
80.25	80.042831693732	3.1416367505575	0.0914970110577179	-0.0121629752796025	15	15	-0.182444629194037
80.5	80.2918203166234	3.16410044454585	0.0884427281553913	-0.0122635867104733	15	15	-0.1839538006571
80.75	80.5408766602896	3.18580041734766	0.0853652177024812	-0.0123485691023002	15	15	-0.185228536534503
81	80.7899988277563	3.20673116509806	0.0822684436042412	-0.0124174700617199	15	15	-0.186262050925798
81.25	81.0391847913016	3.22688818891166	0.0791564826716213	-0.0124698390161159	15	15	-0.187047585241739
81.5	81.2884324024538	3.24626802423908	0.0760335240961832	-0.0125052277639078	15	15	-0.187578416458617
81.75	81.5377394026007	3.26486827002775	0.0729038687896674	-0.0125231910030338	15	15	-0.187847865045507
82	81.7871034341728	3.28268761764391	0.0697719285946663	-0.0125232868310785	15	15	-0.187849302466178
82.25	82.0365220523543	3.29972587951517	0.0666422253741282	-0.0125050772116091	15	15	-0.187576158174137
82.5	82.2859927372755	3.31598401745563	0.0635193899888618	-0.0124681284003265	15	15	-0.187021926004898
82.75	82.5355129066301	3.33146417063889	0.0604081611739649	-0.0124120113259144	15	15	-0.186180169888717
83	82.785079928659	3.34616968318795	0.0573133843259045	-0.0123363019197634	15	15	-0.185044528796451
83.25	83.0346911354362	3.36010513135517	0.0542400102140832	-0.0122405813891145	15	15	-0.183608720836717
83.5	83.2843438363862	3.37327635027019	0.0511930936313473	-0.0121244364298918	15	15	-0.181866546448378
83.75	83.5340353319589	3.38569046023854	0.0481777919991373	-0.0119874593743863	15	15	-0.179811890615795
84	83.7837629273817	3.39735589257908	0.0451993639441541	-0.0118292482702978	15	15	-0.177438724054467
84.25	84.0335239464046	3.40828241499406	0.0422631678639884	-0.0116494068886423	15	15	-0.174741103329635
84.5	84.2833157449492	3.41848115647146	0.039374660499833	-0.0114475446584471	15	15	-0.171713169876707
84.75	84.5331357245677	3.42796463172511	0.0365393955347648	-0.0112232765265381	15	15	-0.168349147898072
85	84.7829813456133	3.43674676518459	0.0337630222365639	-0.0109762227426391	15	15	-0.164643341139587
85.25	85.0328501400206	3.44484291455273	0.0310512841634453	-0.0107060085712223	15	15	-0.160590128568335
85.5	85.2827397235883	3.45226989395461	0.0284100179509528	-0.0104122639306197	15	15	-0.156183958959295
85.75	85.5326478076544	3.45904599670808	0.0258451521981354	-0.0100946229634501	15	15	-0.151419344451751
86	85.7825722100484	3.46519101775137	0.0233627064692277	-0.00975272354324776	15	15	-0.146290853148716
86.25	86.0325108652038	3.47072627576836	0.0209687904265115	-0.00938620672164351	15	15	-0.140793100824653
86.5	86.2824618333068	3.4756746350574	0.018669603108406	-0.00899471612506597	15	15	-0.13492074187599
86.75	86.532423308356	3.48006052719331	0.0164714323639786	-0.00857789730821672	15	15	-0.128668459623251
87	86.7823936250039	3.48390997253563	0.0143806544542976	-0.00813539707508915	15	15	-0.122030956126337
87.25	87.0323712640453	3.48725060163956	0.012403733826434	-0.00766686278095899	15	15	-0.115002941714385
87.5	87.2823548564161	3.49011167662632	0.0105472230638181	-0.00717194162698735	15	15	-0.10757912440481
87.75	87.5323431855593	3.49252411257153	0.00881776301294032	-0.00665027996432	15	15	-0.0997541994648
88	87.7823351880141	3.49452049896838	0.00722208308165811	-0.00610152262560773	15	15	-0.091522839384116
88.25	88.0323299520748	3.49613512132084	0.00576700170013645	-0.00552531230391981	15	15	-0.0828796845587971
88.5	88.282326714366	3.49740398291758	0.00445942692969821	-0.00492128900053826	15	15	-0.0738193350080739
88.75	88.5323248541725	3.49836482683232	0.00330635719986732	-0.00428908956627253	15	15	-0.064336343494088
89	88.782323885358	3.49905715818798	0.00231488214656195	-0.00362834736391798	15	15	-0.0544252104587697
89.25	89.0323234456997	3.4995222667126	0.00149218351790833	-0.00293869208077141	15	15	-0.0440803812115712
89.5	89.2823232834626	3.49980324960254	0.000845536106176239	-0.00221974971494717	15	15	-0.0332962457242075
89.75	89.5323232410258	3.49994503469338	0.000382308660434748	-0.00147121098421976	15	15	-0.0220681647632965
90	89.7823232353728	3.49999440392369	0.000109930614066357	-0.000742233015619772	15	15	-0.0111334952342966
90.25	90.0323232352447	3.5	1.11921526248619e-05	-0.000219861228132714	15	15	-0.00329791842199071
90.5	90.2823232352447	3.5	0	-2.23843052497237e-05	15	15	-0.000335764578745856
90.75	90.5323232352447	3.5	0	0	15	15	0
91	90.7823232352447	3.5	0	0	15	15	0
91.25	91.0323232352447	3.5	0	0	15	15	0
91.5	91.2823232352447	3.5	0	0	15	15	0
91.75	91.5323232352447	3.5	0	0	15	15	0
92	91.7823232352447	3.5	0	0	15	15	0
92.25	92.0323232352447	3.5	0	0	15	15	0
92.5	92.2823232352447	3.5	0	0	15	15	0
92.75	92.5323232352447	3.5	0	0	15	15	0
93	92.7823232352447	3.5	0	0	15	15	0
93.25	93.0323232352447	3.5	0	0	15	15	0
93.5	93.2823232352447	3.5	0	0	15	15	0
93.75	93.5323232352447	3.5	0	0	15	15	0
94	93.7823232352447	3.5	0	0	15	15	0
94.25	94.0323232352447	3.5	0	0	15	15	0
94.5	94.2823232352447	3.5	0	0	15	15	0
94.75	94.5323232352447	3.5	0	0	15	15	0
95	94.7823232352447	3.5	0	0	15	15	0
95.25	95.0323232352447	3.5	0	0	15	15	0
95.5	95.2823232352447	3.5	0	0	15	15	0
95.75	95.5323232352447	3.5	0	0	15	15	0
96	95.7823232352447	3.5	0	0	15	15	0
96.25	96.0323232352447	3.5	0	0	15	15	0
96.5	96.2823232352447	3.5	0	0	15	15	0
96.75	96.5323232352447	3.5	0	0	15	15	0
97	96.7823232352447	3.5	0	0	15	15	0
97.25	97.0323232352447	3.5	0	0	15	15	0
97.5	97.2823232352447	3.5	0	0	15	15	0
97.75	97.5323232352447	3.5	0	0	15	15	0
98	97.7823232352447	3.5	0	0	15	15	0
98.25	98.0323232352447	3.5	0	0	15	15	0
98.5	98.2823232352447	3.5	0	0	15	15	0
98.75	98.5323232352447	3.5	0	0	15	15	0
99	98.7823232352447	3.5	0	0	15	15	0
99.25	99.0323232352447	3.5	0	0	15	15	0
99.5	99.2823232352447	3.5	0	0	15	15	0
99.75	99.5323232352447	3.5	0	0	15	15	0
